Route_long_name,Transport_type,Stop_name,Stop_search,Stop_lat,Stop_lon,Arrival_time,avg_sentiment,avg_rating,main_sentiment
Electric Train Service Padang Besar - Gemas,KTM,Segambut,KTM SEGAMBUT,3.186514,101.664032,9:36:00,-0.03116981132075471,2.7169811320754715,Neutral
Electric Train Service Padang Besar - Gemas,KTM,Putra,KTM PUTRA,3.165399,101.691101,9:40:00,0.08634959349593496,3.5203252032520327,Neutral
Electric Train Service Padang Besar - Gemas,KTM,Bank Negara,KTM BANK NEGARA,3.155105,101.693118,9:41:00,0.112637,3.89,Neutral
Electric Train Service Padang Besar - Gemas,KTM,KUALA LUMPUR,KTM KUALA LUMPUR,3.139444,101.693333,9:43:00,0.107558,3.78,Neutral
Electric Train Service Padang Besar - Gemas,KTM,KL SENTRAL,KTM KL SENTRAL,3.134167,101.686111,9:48:00,0.042642,3.67,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,TUMPAT,KTM TUMPAT,6.19899,102.167621,19:20:00,0.094732,4.4,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kampung Kok Pasir,KTM KAMPUNG KOK PASIR,6.16321,102.20769,19:28:00,0.09859285714285715,4.142857142857143,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Wakaf Bahru,KTM WAKAF BHARU,6.118313,102.200519,19:39:00,0.13021739130434784,4.195652173913044,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Bunut Susu,KTM BUNUT SUSU,6.09638,102.17623,19:46:00,0.11280714285714286,3.857142857142857,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Pasir Mas,KTM PASIR MAS,6.042713,102.142574,19:55:00,0.12646811594202897,4.231884057971015,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Cicha Tinggi,KTM CHICA TINGGI,6.0225,102.14004,20:03:00,0.0479,2.75,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,To' Uban,KTM TO'UBAN,5.98236,102.11687,20:07:00,0.0,5.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sungai Keladi,KTM SUNGAI KELADI,5.9052,102.15896,20:13:00,0.0,5.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Bukit Panau,KTM BUKIT PANAU,5.89126,102.15727,20:17:00,0.233,4.166666666666667,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Tanah Merah,KTM TANAH MERAH,5.806077,102.146729,20:28:00,0.16181739130434783,4.3478260869565215,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Temangan,KTM TEMANGAN,5.70241,102.15165,20:50:00,0.06802857142857144,4.142857142857143,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sungai Nal,KTM SUNGAI NAL,5.58888,102.180094,21:06:00,0.5267,4.0,Positive
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kuala Krai,KTM KUALA KRAI,5.529884,102.202808,21:16:00,0.07216190476190476,3.9523809523809526,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Pahi,KTM PAHI,5.54847,102.23977,21:30:00,0.21338,4.2,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Manek Urai,KTM MANEK URAI,5.39103,102.23263,21:45:00,0.1101,4.75,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kg.Baru Sg.Mengkuang,KTM KAMPUNG BARU SUNGAI MENGKUANG,5.38989,102.14639,22:00:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Ulu Temiang,KTM ULU TEMIANG,5.30765,102.15629,22:21:00,0.265325,4.75,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kg Baru Bukit Abu,KTM KG BARU BUKIT ABU,5.32983,102.1214,22:33:00,0.0,4.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Bukit Abu,KTM BUKIT ABU,5.37267,102.08513,22:51:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kuala Gris,KTM KUALA GRIS,5.49379,102.08047,23:00:00,0.24675,4.833333333333333,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Dabong,KTM DABONG,5.377071,102.010175,23:24:00,0.18827230769230768,4.2615384615384615,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Kemubu,KTM KEMUBU,5.35271,102.31175,23:40:00,0.3852857142857143,4.571428571428571,Positive
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sri Jaya,KTM SRI JAYA,5.30785,102.00906,23:50:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sri Mahligai,KTM SRI MAHLIGAI,5.31332,101.77286,23:54:00,-0.074,3.5,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sri Bintang,KTM SRI BINTANG,5.160115,102.08597,23:58:00,0.0,5.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Aur Gading,KTM AUR GADING,4.44072,101.95489,26:47:00,0.0,5.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Bahau,KTM BAHAU,2.811299,102.403595,31:15:00,0.14196666666666669,3.8666666666666667,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Batu Anam,KTM BATU ANAM,2.580443,102.702269,32:30:00,0.0,3.5,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Bekok,KTM BEKOK,2.295713,103.129726,33:24:00,0.10244210526315789,4.7894736842105265,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Bertam,KTM BERTAM,5.148,102.05066,24:22:00,0.0,4.25,Neutral
