Stop_search,Stop_name,Route_long_name,Transport_type,avg_sentiment,avg_rating,main_sentiment
KTM BUNUT SUSU,Bunut Susu,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.11280714285714286,3.857142857142857,Neutral
KTM BUNUT SUSU,Bunut Susu,Intercity Shuttle Tumpat - Gemas,KTM,0.11280714285714286,3.857142857142857,Neutral
KTM BUTTERWORTH,BUTTERWORTH,KTM Butterworth - Ipoh,KTM,0.099743,3.23,Neutral
KTM BUTTERWORTH,BUTTERWORTH,KTM Butterworth - Padang Besar,KTM,0.099743,3.23,Neutral
KTM BUTTERWORTH,BUTTERWORTH,Electric Train Service Padang Besar - Gemas,KTM,0.099743,3.23,Neutral
KTM CHAMEK,Chamek,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,3.0,Neutral
KTM CHEGAR PERAH,Chegar Perah,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.074,4.0,Neutral
KTM CHEGAR PERAH,Chegar Perah,Intercity Shuttle Tumpat - Gemas,KTM,0.074,4.0,Neutral
KTM CHEMOR,CHEMOR,KTM Butterworth - Ipoh,KTM,,,
KTM CHEMOR,CHEMOR,Electric Train Service Padang Besar - Gemas,KTM,,,
KTM CHICA TINGGI,Cicha Tinggi,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0479,2.75,Neutral
KTM CHICA TINGGI,Cicha Tinggi,Intercity Shuttle Tumpat - Gemas,KTM,0.0479,2.75,Neutral
KTM DABONG,Dabong,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.18827230769230768,4.2615384615384615,Neutral
KTM DABONG,Dabong,Intercity Shuttle Tumpat - Gemas,KTM,0.18827230769230768,4.2615384615384615,Neutral
KTM DANGA CITY MALL,DANGA CITY MALL,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,-0.1101,4.0,Neutral
KTM DURA,Dura,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.6588,5.0,Positive
KTM DURA,Dura,Intercity Shuttle Tumpat - Gemas,KTM,0.6588,5.0,Positive
KTM GEMAS,Gemas,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.112937,4.56,Neutral
KTM GEMAS,Gemas,Intercity Shuttle Tumpat - Gemas,KTM,0.112937,4.56,Neutral
KTM GENUANG,Genuang,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.1147037037037037,4.333333333333333,Neutral
KTM GUA MUSANG,Gua Musang,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.18865913978494625,4.440860215053763,Neutral
KTM GUA MUSANG,Gua Musang,Intercity Shuttle Tumpat - Gemas,KTM,0.18865913978494625,4.440860215053763,Neutral
KTM GURUN,GURUN,KTM Butterworth - Padang Besar,KTM,0.07284,4.11,Neutral
KTM GURUN,GURUN,Electric Train Service Padang Besar - Gemas,KTM,0.07284,4.11,Neutral
KTM HOLIDAY PLAZA,HOLIDAY PLAZA,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM IPOH,IPOH,Electric Train Service Padang Besar - Gemas,KTM,0.173935,3.84,Neutral
KTM IPOH,IPOH,KTM Butterworth - Ipoh,KTM,0.173935,3.84,Neutral
KTM JALAN KASTAM,JALAN KASTAM,,KTM,0.0794875,4.0,Neutral
KTM JALAN TEMPLER,Jalan Templer,,KTM,0.0320074074074074,2.814814814814815,Neutral
KTM JB SENTRAL,JB SENTRAL,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.102807,4.49,Neutral
KTM JB SENTRAL,JB SENTRAL,Intercity Shuttle Tebrau JB Sentral - Woodlands,KTM,0.102807,4.49,Neutral
KTM JENDERAK,Jenderak,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.07106,4.4,Neutral
KTM JENDERAK,Jenderak,Intercity Shuttle Tumpat - Gemas,KTM,0.07106,4.4,Neutral
KTM JERANSONG,JERANSONG,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM JERANSONG,JERANSONG,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM JERANTUT,Jerantut,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.1568179487179487,4.384615384615385,Neutral
KTM JERANTUT,Jerantut,Intercity Shuttle Tumpat - Gemas,KTM,0.1568179487179487,4.384615384615385,Neutral
KTM Jerek Baru,Jerek Baru,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM Jerek Baru,Jerek Baru,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM JEREK BARU,Jerek Baru,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.17020000000000002,4.666666666666667,Neutral
KTM KAJANG,KAJANG,,KTM,0.055276000000000006,3.87,Neutral
KTM KAJANG 2,KAJANG 2,,KTM,0.19609230769230768,3.769230769230769,Neutral
KTM KALUMPANG,KALUMPANG,,KTM,,,
KTM KALUMPANG,KALUMPANG,Electric Train Service Padang Besar - Gemas,KTM,,,
KTM KAMPAR,KAMPAR,Electric Train Service Padang Besar - Gemas,KTM,-0.039266,3.58,Neutral
KTM KAMPUNG BARU SUNGAI MENGKUANG,Kg.Baru Sg.Mengkuang,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM KAMPUNG BARU SUNGAI MENGKUANG,Kg.Baru Sg.Mengkuang,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM KAMPUNG BATU,Kampung Batu,,KTM,-0.015802631578947367,3.4210526315789473,Neutral
KTM KAMPUNG BERKAM,Kg.Berkam,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.3294,3.0,Positive
KTM KAMPUNG BERKAM,Kg.Berkam,Intercity Shuttle Tumpat - Gemas,KTM,0.3294,3.0,Positive
KTM KAMPUNG KOK PASIR,Kampung Kok Pasir,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.09859285714285715,4.142857142857143,Neutral
KTM KAMPUNG KOK PASIR,Kampung Kok Pasir,Intercity Shuttle Tumpat - Gemas,KTM,0.09859285714285715,4.142857142857143,Neutral
